PostflopID,Decision,Street,Hand,Outs,PotInvestment,AmountToCall,NumCalls,Bankroll,HandID
1,3.0,1,1.006715952,0,3.0,0.0,2,77.5,6
2,6.5,2,1.006611828,0,6.0,0.0,2,74.5,6
3,0.0,3,1.005537127,4,12.5,0.0,2,68.0,6
4,0.0,1,0.083646323,9,3.5,0.0,2,64.5,10
5,16.0,1,0.083646323,9,3.5,7.0,2,64.5,10
6,0.0,2,0.0835422,9,19.5,0.0,2,48.5,10
7,48.5,2,0.0835422,9,19.5,19.0,2,48.5,10
8,2.0,1,0.15398345900000002,0,3.0,0.0,2,118.0,12
9,0.0,1,0.240576843,0,3.0,5.0,3,120.0,19
10,0.0,1,0.006470518000000001,4,3.5,7.0,2,105.0,35
11,3.0,1,1.0055966264056644,0,3.0,0.0,2,77.0,36
12,2.0,1,0.028221128101386325,0,1.0,0.0,2,82.0,41
13,2.0,1,1.000780924614744,0,1.0,0.0,4,82.0,55
14,3.0,2,1.9857351103706788,0,3.0,0.0,2,80.0,55
15,5.0,1,1.4348188254893794,0,3.0,0.0,3,84.5,64
16,3.0,1,1.0113754685547691,0,2.0,0.0,2,90.5,70
17,0.0,2,0.8681538942107455,4,5.0,0.0,2,87.5,70
18,8.0,2,0.8681538942107455,4,5.0,4.0,2,87.5,70
19,25.5,3,3.961963393229012,0,13.0,0.0,2,79.5,70
20,0.0,1,0.0012308859403819838,9,1.0,0.0,3,104.0,77
21,3.0,2,4.923502855952877,8,1.0,0.0,3,104.0,77
22,8.5,3,4.921621199500208,8,4.0,0.0,2,101.0,77
23,2.0,1,0.8703404831320283,0,1.0,0.0,2,116.5,78
24,0.0,2,0.869923990004165,0,3.0,0.0,2,114.5,78
25,4.5,3,1.9240885494139344,0,3.0,4.5,2,114.5,78
26,4.0,1,0.1098017195216279,0,2.0,2.0,2,123.0,84
27,6.5,2,0.008616201582673884,0,6.0,0.0,2,119.0,84
28,0.0,1,0.2213437853275421,0,2.5,0.0,2,129.5,88
29,0.0,1,0.2213437853275421,0,2.5,3.5,2,129.5,88
