PreflopID,Decision,High_card,Kicker,NumIn,Pocket,Suited,PotInvestment,AmountToCall,HandID
1,0.0,7,3,5,0,0,0.0,3.0,1
2,3.0,12,7,5,0,0,0.0,1.0,2
3,0.0,7,5,6,0,1,0.0,1.0,3
4,0.0,11,3,3,0,0,0.5,2.5,5
5,3.0,11,10,4,0,0,0.0,3.0,6
6,0.0,8,3,5,0,0,0.0,1.0,7
7,0.0,10,6,5,0,0,0.0,1.0,8
8,0.0,2,0,6,0,0,0.0,1.0,9
9,2.5,12,6,2,0,1,1.0,2.5,10
10,0.0,11,1,3,0,0,0.5,2.5,11
11,3.0,12,5,3,0,0,0.0,1.0,12
12,0.0,11,0,4,0,0,0.0,1.0,13
13,0.0,9,6,5,0,1,0.0,1.0,14
14,0.0,1,0,2,0,1,1.0,2.5,15
15,0.0,4,3,2,0,0,0.5,0.5,16
16,0.0,11,6,4,0,0,0.0,3.5,17
17,0.0,10,4,4,0,0,0.0,1.0,18
18,3.0,11,3,5,0,1,0.0,1.0,19
19,1.0,9,8,6,0,0,0.0,1.0,20
20,0.0,9,8,2,0,0,1.0,4.0,20
21,0.0,3,2,2,0,0,1.0,2.5,21
22,0.0,9,1,4,0,0,0.5,2.5,22
23,0.0,6,3,4,0,0,0.0,3.5,23
24,0.0,11,7,4,0,0,0.0,1.0,24
25,3.0,12,8,5,0,0,0.0,1.0,25
26,0.0,12,8,2,0,0,3.0,7.5,25
27,0.0,4,3,2,0,0,1.0,2.0,26
28,0.0,5,3,3,0,0,0.5,3.0,27
29,0.0,6,2,5,0,0,0.0,8.0,28
30,0.0,3,2,4,0,0,0.0,1.0,29
31,0.0,10,2,5,0,0,0.0,1.0,30
32,0.0,5,1,6,0,0,0.0,1.0,31
33,0.0,6,3,3,0,0,1.0,2.0,32
34,0.0,8,1,3,0,1,0.5,1.5,33
35,3.0,10,6,3,0,0,0.0,1.0,34
36,0.0,10,6,2,0,0,3.0,6.5,34
37,1.0,11,9,4,0,0,0.0,1.0,35
38,2.5,11,9,2,0,0,1.0,2.5,35
39,2.0,11,6,2,0,1,1.0,2.0,36
40,0.0,12,0,3,0,0,0.5,2.5,37
41,0.0,8,4,5,0,0,0.0,8.5,38
42,0.0,11,2,5,0,0,0.0,3.0,39
43,0.0,10,2,5,0,0,0.0,1.0,40
44,1.0,10,8,6,0,0,0.0,1.0,41
45,0.0,10,8,2,0,1,1.0,2.0,42
46,0.0,4,2,4,0,0,0.5,2.5,43
47,0.0,5,1,4,0,0,0.0,3.0,44
48,0.0,1,0,5,0,1,0.0,3.0,45
49,0.0,11,1,5,0,0,0.0,1.0,46
50,0.0,2,0,2,0,0,0.5,0.5,48
51,0.0,2,1,3,0,0,0.0,1.0,49
52,0.0,9,2,4,0,0,0.0,1.0,50
53,0.0,7,3,5,0,0,0.0,1.0,51
54,0.0,5,4,6,0,0,0.0,1.0,52
55,0.0,12,0,3,0,0,1.0,2.0,53
56,2.5,8,5,2,0,0,0.5,0.5,54
